Index,CO Request ID,Creation Date,FX Deal No,Deal Amount,Currency,Value Date,Business Partner,Period after CO create date,Average number of days not received by CO,Trader
90,11347,2019-11-12 00:00:00,312923,"70,000,000.00",XAF,2019-11-14 00:00:00,Ecobank Transnational I,2 days 00:00:00,5 days 00:00:00,EMBEWE
91,11345,2019-11-12 00:00:00,312924,"400,000,000.00",XOF,2019-11-14 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,EMBEWE
92,11338,2019-11-11 00:00:00,312925,"3,495,000.00",BOB,2019-11-13 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,EMBEWE
93,11346,2019-11-12 00:00:00,312926,"200,000,000.00",AOA,2019-11-14 00:00:00,ICBC Standard Bank Plc,2 days 00:00:00,5 days 00:00:00,EMBEWE
94,11342,2019-11-12 00:00:00,312927,"7,000,000,000.00",IDR,2019-11-14 00:00:00,Standard Chartered Bank,2 days 00:00:00,5 days 00:00:00,EMBEWE
95,11340,2019-11-11 00:00:00,312928,"400,000.00",FJD,2019-11-13 00:00:00,"Citibank N.A., New York",2 days 00:00:00,5 days 00:00:00,EMBEWE
96,11339,2019-11-11 00:00:00,312929,"1,000,000.00",SBD,2019-11-13 00:00:00,AUSTRALIA AND NEW ZEALA,2 days 00:00:00,5 days 00:00:00,EMBEWE
97,11341,2019-11-12 00:00:00,312930,"500,000,000.00",PKR,2019-11-14 00:00:00,Ecobank Transnational I,2 days 00:00:00,5 days 00:00:00,EMBEWE
98,11349,2019-11-12 00:00:00,312931,"2,000,000.00",PEN,2019-11-14 00:00:00,"Citibank N.A., New York",2 days 00:00:00,5 days 00:00:00,EMBEWE
99,11350,2019-11-13 00:00:00,312933,"734,000,000.00",MWK,2019-11-15 00:00:00,Ecobank Transnational I,2 days 00:00:00,5 days 00:00:00,EMBEWE
100,11351,2019-11-13 00:00:00,312934,"2,000,000,000.00",NGN,2019-11-15 00:00:00,Standard Chartered Bank,2 days 00:00:00,5 days 00:00:00,EMBEWE
101,11352,2019-11-13 00:00:00,312935,"60,000,000.00",ETB,2019-11-14 00:00:00,Ecobank Transnational I,1 days 00:00:00,4 days 00:00:00,EMBEWE
102,11355,2019-11-13 00:00:00,312936,"900,000,000.00",XOF,2019-11-15 00:00:00,ED&F Man Capital Market,2 days 00:00:00,5 days 00:00:00,EMBEWE
103,11353,2019-11-13 00:00:00,312937,"35,000,000.00",LKR,2019-11-15 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,EMBEWE
104,11361,2019-11-14 00:00:00,312938,"655,957,000.00",XOF,2019-11-18 00:00:00,Ecobank Transnational I,4 days 00:00:00,7 days 00:00:00,EMBEWE
105,11359,2019-11-14 00:00:00,312939,"27,690,000.00",ZMW,2019-11-18 00:00:00,Ecobank Transnational I,4 days 00:00:00,7 days 00:00:00,EMBEWE
106,11363,2019-11-14 00:00:00,312940,"500,000,000.00",XOF,2019-11-18 00:00:00,ED&F Man Capital Market,4 days 00:00:00,7 days 00:00:00,EMBEWE
107,11360,2019-11-14 00:00:00,312941,"385,000.00",SZL,2019-11-18 00:00:00,ICBC Standard Bank Plc,4 days 00:00:00,7 days 00:00:00,EMBEWE
108,11357,2019-11-13 00:00:00,312942,"4,000,000.00",MXN,2019-11-15 00:00:00,"Barclays Bank Plc , Lon",2 days 00:00:00,5 days 00:00:00,EMBEWE
109,11356,2019-11-13 00:00:00,312943,"3,200,000.00",BRL,2019-11-18 00:00:00,INTL FCStone Ltd.,5 days 00:00:00,8 days 00:00:00,EMBEWE
110,11358,2019-11-14 00:00:00,312944,"15,334,000.00",KGS,2019-11-18 00:00:00,INTL FCStone Ltd.,4 days 00:00:00,7 days 00:00:00,EMBEWE
111,11366,2019-11-15 00:00:00,312946,"100,000,000.00",MZN,2019-11-18 00:00:00,INTL FCStone Ltd.,3 days 00:00:00,6 days 00:00:00,EMBEWE
112,11368,2019-11-15 00:00:00,312947,"187,000.00",BYN,2019-11-18 00:00:00,INTL FCStone Ltd.,3 days 00:00:00,6 days 00:00:00,EMBEWE
113,11367,2019-11-15 00:00:00,312948,"6,876,000.00",NPR,2019-11-18 00:00:00,Crown Agents Bank,3 days 00:00:00,6 days 00:00:00,EMBEWE
114,11364,2019-11-14 00:00:00,312949,"2,500,000.00",MAD,2019-11-19 00:00:00,Standard Chartered Bank,5 days 00:00:00,8 days 00:00:00,EMBEWE
115,11365,2019-11-15 00:00:00,312950,"800,000.00",PGK,2019-11-18 00:00:00,Crown Agents Bank,3 days 00:00:00,6 days 00:00:00,EMBEWE
116,11369,2019-11-15 00:00:00,312951,"4,000,000,000.00",SLL,2019-11-18 00:00:00,Standard Chartered Bank,3 days 00:00:00,6 days 00:00:00,EMBEWE
117,11370,2019-11-15 00:00:00,312953,"500,000,000.00",XOF,2019-11-18 00:00:00,Ecobank Transnational I,3 days 00:00:00,6 days 00:00:00,EMBEWE
118,11371,2019-11-15 00:00:00,312954,"200,000,000.00",XAF,2019-11-18 00:00:00,Crown Agents Bank,3 days 00:00:00,6 days 00:00:00,EMBEWE
119,11373,2019-11-15 00:00:00,312955,"50,000,000.00",XAF,2019-11-18 00:00:00,Crown Agents Bank,3 days 00:00:00,6 days 00:00:00,EMBEWE
120,11372,2019-11-15 00:00:00,312956,"4,000,000.00",DKK,2019-11-19 00:00:00,"Danske Bank, Copenhagen",4 days 00:00:00,7 days 00:00:00,EMBEWE
121,11374,2019-11-15 00:00:00,312957,"2,185,950,000.00",TZS,2019-11-19 00:00:00,INTL FCStone Ltd.,4 days 00:00:00,7 days 00:00:00,EMBEWE
122,11375,2019-11-17 00:00:00,312958,"20,000,000.00",EGP,2019-11-20 00:00:00,Ecobank Transnational I,3 days 00:00:00,6 days 00:00:00,DWBROWN
123,11379,2019-11-18 00:00:00,312959,"500,000.00",SZL,2019-11-20 00:00:00,ICBC Standard Bank Plc,2 days 00:00:00,5 days 00:00:00,DWBROWN
124,11376,2019-11-18 00:00:00,312960,"4,000,000.00",JOD,2019-11-20 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
125,11378,2019-11-18 00:00:00,312961,"7,000,000,000.00",IDR,2019-11-20 00:00:00,Standard Chartered Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
126,11377,2019-11-18 00:00:00,312962,"12,000,000,000.00",VND,2019-11-20 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
127,11380,2019-11-18 00:00:00,312963,"70,000,000.00",ETB,2019-11-20 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
128,11382,2019-11-18 00:00:00,312964,"580,000,000.00",XOF,2019-11-20 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
129,11383,2019-11-18 00:00:00,312965,"1,000,000,000.00",BIF,2019-11-20 00:00:00,Ecobank Transnational I,2 days 00:00:00,5 days 00:00:00,DWBROWN
130,11388,2019-11-19 00:00:00,312966,"2,000,000.00",LSL,2019-11-21 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
131,11387,2019-11-19 00:00:00,312967,"700,000.00",TND,2019-11-21 00:00:00,Ecobank Transnational I,2 days 00:00:00,5 days 00:00:00,DWBROWN
132,11386,2019-11-19 00:00:00,312968,"100,000,000.00",XAF,2019-11-21 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
133,11389,2019-11-19 00:00:00,312969,"1,935,900,000.00",PYG,2019-11-21 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
134,11390,2019-11-19 00:00:00,312970,"655,957,000.00",XOF,2019-11-21 00:00:00,ED&F Man Capital Market,2 days 00:00:00,5 days 00:00:00,DWBROWN
135,11391,2019-11-19 00:00:00,312971,"450,000,027.00",XOF,2019-11-22 00:00:00,Crown Agents Bank,3 days 00:00:00,6 days 00:00:00,DWBROWN
136,11401,2019-11-20 00:00:00,312972,"30,000,000.00",XAF,2019-11-22 00:00:00,ED&F Man Capital Market,2 days 00:00:00,5 days 00:00:00,DWBROWN
137,11394,2019-11-20 00:00:00,312973,"5,700,000.00",CNY,2019-11-22 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
138,11403,2019-11-20 00:00:00,312974,"44,250,000.00",DJF,2019-11-22 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
139,11397,2019-11-20 00:00:00,312975,"200,000,000.00",BDT,2019-11-25 00:00:00,Crown Agents Bank,5 days 00:00:00,8 days 00:00:00,DWBROWN
140,11402,2019-11-20 00:00:00,312976,"320,000.00",BAM,2019-11-22 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
141,11400,2019-11-20 00:00:00,312977,"623,159,150.00",XOF,2019-11-22 00:00:00,ED&F Man Capital Market,2 days 00:00:00,5 days 00:00:00,DWBROWN
142,11393,2019-11-20 00:00:00,312978,"600,000,000.00",PKR,2019-11-22 00:00:00,Ecobank Transnational I,2 days 00:00:00,5 days 00:00:00,DWBROWN
143,11399,2019-11-20 00:00:00,312979,"120,000.00",ILS,2019-11-22 00:00:00,Svenska Handelsbanken,2 days 00:00:00,5 days 00:00:00,DWBROWN
144,11392,2019-11-19 00:00:00,312980,"2,000,000,000.00",SLL,2019-11-22 00:00:00,Standard Chartered Bank,3 days 00:00:00,6 days 00:00:00,DWBROWN
145,11398,2019-11-20 00:00:00,312981,"35,000,000.00",AMD,2019-11-22 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
146,11404,2019-11-20 00:00:00,312983,"400,000.00",TND,2019-11-22 00:00:00,INTL FCStone Ltd.,2 days 00:00:00,5 days 00:00:00,DWBROWN
147,11405,2019-11-20 00:00:00,312984,"4,458,000.00",NIO,2019-11-22 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
148,11396,2019-11-20 00:00:00,312985,"15,000,000.00",DKK,2019-11-22 00:00:00,National Australia Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
149,11410,2019-11-21 00:00:00,312986,"800,000,000.00",XOF,2019-11-25 00:00:00,ED&F Man Capital Market,4 days 00:00:00,7 days 00:00:00,DWBROWN
150,11413,2019-11-21 00:00:00,312987,"983,935,500.00",XOF,2019-11-25 00:00:00,Crown Agents Bank,4 days 00:00:00,7 days 00:00:00,DWBROWN
151,11406,2019-11-20 00:00:00,312989,"1,000,000.00",PEN,2019-11-22 00:00:00,Crown Agents Bank,2 days 00:00:00,5 days 00:00:00,DWBROWN
152,11412,2019-11-21 00:00:00,312990,"500,000,000.00",NGN,2019-11-25 00:00:00,Ecobank Transnational I,4 days 00:00:00,7 days 00:00:00,DWBROWN
153,11409,2019-11-21 00:00:00,312991,"120,000,000.00",INR,2019-11-25 00:00:00,"JPMorgan Chase Bank, N.",4 days 00:00:00,7 days 00:00:00,DWBROWN
154,11408,2019-11-21 00:00:00,312992,"500,000,000.00",XAF,2019-11-25 00:00:00,ED&F Man Capital Market,4 days 00:00:00,7 days 00:00:00,DWBROWN
155,11415,2019-11-21 00:00:00,312993,"150,000,000.00",AOA,2019-11-25 00:00:00,INTL FCStone Ltd.,4 days 00:00:00,7 days 00:00:00,DWBROWN
156,11417,2019-11-21 00:00:00,312994,"11,158,400.00",ZMW,2019-11-25 00:00:00,Crown Agents Bank,4 days 00:00:00,7 days 00:00:00,DWBROWN
157,11416,2019-11-21 00:00:00,312995,"300,000,000.00",RWF,2019-11-25 00:00:00,Ecobank Transnational I,4 days 00:00:00,7 days 00:00:00,DWBROWN
158,11419,2019-11-21 00:00:00,312996,"1,075,500,000.00",MGA,2019-11-25 00:00:00,Crown Agents Bank,4 days 00:00:00,7 days 00:00:00,DWBROWN
159,11418,2019-11-21 00:00:00,312997,"30,000,000.00",XAF,2019-11-25 00:00:00,Crown Agents Bank,4 days 00:00:00,7 days 00:00:00,DWBROWN
160,11420,2019-11-21 00:00:00,312999,"30,000,000.00",CRC,2019-11-25 00:00:00,INTL FCStone Ltd.,4 days 00:00:00,7 days 00:00:00,DWBROWN
161,11421,2019-11-21 00:00:00,313000,"200,000,028.00",XOF,2019-11-25 00:00:00,Crown Agents Bank,4 days 00:00:00,7 days 00:00:00,DWBROWN
162,11426,2019-11-22 00:00:00,313001,"20,000,000.00",LKR,2019-11-26 00:00:00,INTL FCStone Ltd.,4 days 00:00:00,7 days 00:00:00,DWBROWN
163,11425,2019-11-22 00:00:00,313002,"1,200,000.00",GHS,2019-11-26 00:00:00,INTL FCStone Ltd.,4 days 00:00:00,7 days 00:00:00,DWBROWN
164,11423,2019-11-22 00:00:00,313003,"900,000,000.00",XOF,2019-11-26 00:00:00,ED&F Man Capital Market,4 days 00:00:00,7 days 00:00:00,DWBROWN
165,11422,2019-11-22 00:00:00,313004,"4,423,500,000.00",LAK,2019-11-26 00:00:00,INTL FCStone Ltd.,4 days 00:00:00,7 days 00:00:00,DWBROWN
166,11424,2019-11-22 00:00:00,313005,"2,000,000.00",MAD,2019-11-26 00:00:00,"BNP Paribas, Paris",4 days 00:00:00,7 days 00:00:00,DWBROWN
167,11427,2019-11-22 00:00:00,313006,"1,500,000,000.00",SLL,2019-11-26 00:00:00,Standard Chartered Bank,4 days 00:00:00,7 days 00:00:00,DWBROWN
168,11428,2019-11-22 00:00:00,313007,"300,000,000.00",BIF,2019-11-26 00:00:00,Ecobank Transnational I,4 days 00:00:00,7 days 00:00:00,DWBROWN
169,11429,2019-11-22 00:00:00,313008,"300,000,000.00",XAF,2019-11-26 00:00:00,Ecobank Transnational I,4 days 00:00:00,7 days 00:00:00,DWBROWN
